,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
1075781,Broadway & Battery Pl,Little West St & 1 Pl,40.70463334,-74.01361706,40.70569254,-74.01677685,1522
14075,1 Ave & E 18 St,E 27 St & 1 Ave,40.73381219196632,-73.98054420948029,40.739445,-73.976806,1521
671788,8 Ave & W 16 St,E 16 St & 5 Ave,40.740983,-74.001702,40.73726186,-73.99238967,1519
4976031,West Drive & Prospect Park West,Parade Pl & Crooke Ave,40.6610633719006,-73.97945255041122,40.651847,-73.965248,1518
510692,5 Ave & E 72 St,5 Ave & E 87 St,40.77282817,-73.96685276,40.78232260730881,-73.95987510681152,1518
925511,Ave A & E 14 St,E 5 St & Ave A,40.73031071000895,-73.98047178983688,40.72479007746337,-73.98430064320564,1517
2809940,Grand St & Havemeyer St,Grand St & Havemeyer St,40.71286844,-73.95698119,40.71286844,-73.95698119,1516
3489910,N 12 St & Bedford Ave,N 12 St & Bedford Ave,40.72079821,-73.95484712,40.72079821,-73.95484712,1514
1079182,Broadway & Berry St,Broadway & Berry St,40.71044554,-73.96525063,40.71044554,-73.96525063,1513
2436680,E 85 St & 3 Ave,2 Ave & E 72 St,40.77801203,-73.95407149,40.7687620293096,-73.95840793848038,1509
4269855,W 15 St & 6 Ave,8 Ave & W 16 St,40.738046142482766,-73.99642959237099,40.740983,-74.001702,1509
4082170,Union Ave & N 12 St,Union Ave & N 12 St,40.71924,-73.95242,40.71924,-73.95242,1509
2741343,Grand Army Plaza & Central Park S,7 Ave & Central Park South,40.7643971,-73.97371465,40.7667405590595,-73.9790689945221,1508
4384841,W 22 St & 8 Ave,W 21 St & 6 Ave,40.74475148,-73.99915362,40.74173969,-73.99415556,1505
2324607,E 63 St & 3 Ave,1 Ave & E 68 St,40.763954,-73.9646,40.76500525,-73.95818491,1504
731090,8 Ave & W 52 St,W 53 St & 10 Ave,40.76370739,-73.9851615,40.76669671,-73.99061728,1503
4508396,W 37 St & 10 Ave,8 Ave & W 33 St,40.75660359,-73.9979009,40.751551,-73.993934,1502
1417891,Central Park S & 6 Ave,Grand Army Plaza & Central Park S,40.76590936,-73.97634151,40.7643971,-73.97371465,1502
1251870,Broadway & W 58 St,Broadway & W 51 St,40.76695317,-73.98169333,40.76228826,-73.98336183,1500
3884953,South St & Gouverneur Ln,South St & Whitehall St,40.70355377,-74.00670227,40.70122128,-74.01234218,1499
924089,Ave A & E 14 St,E 10 St & Avenue A,40.73031071000895,-73.98047178983688,40.72740794,-73.98142006,1499
3962389,St. Nicholas Ave & W 126 St,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,40.8114323,-73.9518776,1498
4196830,W 11 St & 6 Ave,W 11 St & 6 Ave,40.73532427,-73.99800419,40.73532427,-73.99800419,1497
2379365,E 74 St & 1 Ave,E 74 St & 1 Ave,40.7689738,-73.95482273,40.7689738,-73.95482273,1496
442852,44 Dr & Jackson Ave,44 Dr & Jackson Ave,40.74718234,-73.9432635,40.74718234,-73.9432635,1493
1025239,Berry St & N 8 St,Milton St & Franklin St,40.7190095,-73.95852515,40.72906,-73.95779,1493
1525202,Cliff St & Fulton St,Cliff St & Fulton St,40.70838,-74.00495,40.70838,-74.00495,1492
4109495,University Pl & E 14 St,Washington Square E,40.734814,-73.992085,40.73049393,-73.9957214,1491
4403783,W 26 St & 10 Ave,10 Ave & W 28 St,40.749717753,-74.002950346,40.75066386,-74.00176802,1490
5027376,West Thames St,West St & Chambers St,40.70834698,-74.01713445,40.71754834,-74.01322069,1489
2903118,Hanson Pl & Ashland Pl,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,40.68506807308177,-73.97790759801863,1489
4963507,Watts St & Greenwich St,Watts St & Greenwich St,40.72405549,-74.00965965,40.72405549,-74.00965965,1489
4454139,W 31 St & 7 Ave,E 33 St & 1 Ave,40.749156,-73.9916,40.74322681432173,-73.97449783980846,1488
1618351,Cooper Square & Astor Pl,E 6 St & Avenue B,40.72951496224949,-73.99075269699097,40.72453734,-73.98185424,1488
4411562,W 26 St & 8 Ave,8 Ave & W 38 St,40.74734825,-73.99723551,40.75461,-73.99177,1487
2804521,Grand St & Greene St,Grand St & Greene St,40.72170005235607,-74.00238141417502,40.72170005235607,-74.00238141417502,1485
3653238,Plaza St West & Flatbush Ave,3 St & Prospect Park West,40.6750207,-73.97111473,40.668132,-73.97363831,1485
1540780,Clinton St & Cherry St,Clinton St & Cherry St,40.711471394469264,-73.98672603070736,40.711471394469264,-73.98672603070736,1484
709099,8 Ave & W 38 St,8 Ave & W 52 St,40.75461,-73.99177,40.76370739,-73.9851615,1484
2427820,E 84 St & 1 Ave,E 85 St & York Ave,40.77565541,-73.95068615,40.77536905,-73.94803392,1484
4281500,W 15 St & 7 Ave,W 21 St & 6 Ave,40.73935542,-73.99931783,40.74173969,-73.99415556,1484
2970992,Huron St & Franklin St,Huron St & Franklin St,40.73266,-73.95826,40.73266,-73.95826,1482
211810,2 Ave & E 96 St,2 Ave & E 96 St,40.7839636,-73.9471673,40.7839636,-73.9471673,1482
4448767,W 31 St & 7 Ave,1 Ave & E 30 St,40.749156,-73.9916,40.74144387,-73.97536082,1481
1448430,Central Park West & W 72 St,Central Park West & W 68 St,40.77579376683666,-73.9762057363987,40.7734066,-73.97782542,1480
1821427,E 118 St & Madison Ave,Lenox Ave & W 117 St,40.8014866,-73.9442507,40.8025566,-73.9490782,1479
23719,1 Ave & E 30 St,W 31 St & 7 Ave,40.74144387,-73.97536082,40.749156,-73.9916,1479
2943900,Hope St & Union Ave,Hope St & Union Ave,40.71167351,-73.95141312,40.71167351,-73.95141312,1478
722559,8 Ave & W 49 St,W 50 St & 10 Ave,40.76171227910671,-73.98655101656914,40.76473420006519,-73.99194359779358,1478
4564723,W 42 St & 6 Ave,W 43 St & 10 Ave,40.75492,-73.98455,40.76009437,-73.99461843,1475
276668,3 Ave & E 169 St,3 Ave & E 169 St,40.832678,-73.905158,40.832678,-73.905158,1475
926074,Ave A & E 14 St,E 7 St & Ave C,40.73031071000895,-73.98047178983688,40.72412944090093,-73.97901266813278,1475
2634034,Frederick Douglass Blvd & W 115 St,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,40.8038654,-73.9559308,1471
4923642,Washington Pl & Broadway,Washington Pl & Broadway,40.72903917,-73.99404649,40.72903917,-73.99404649,1470
153995,12 Ave & W 40 St,Riverside Blvd & W 67 St,40.76087502,-74.00277668,40.777507027547976,-73.98888587951659,1467
1518696,Cleveland Pl & Spring St,Lafayette St & E 8 St,40.722103786686034,-73.99724900722504,40.73020660529954,-73.99102628231049,1466
1204227,Broadway & W 41 St,11 Ave & W 41 St,40.75513557,-73.98658032,40.76030096,-73.99884222,1466
708935,8 Ave & W 38 St,8 Ave & W 49 St,40.75461,-73.99177,40.76171227910671,-73.98655101656914,1463
